DEgene_symbol	DEdisease	DEdatabase_ID
SORT1	Coronary_heart_disease	DE_00459
miR-200b	Lung_cancer	DE_00664
CD58	Multiple_sclerosis	DE_00467
NOTCH2	Breast_cancer	DE_00520
MUC1/C1orf54/THBS3/PSMB4/GBA/GBAP/APH1A/CTSS/ANP32E/ECM1/C1orf51/NBPF10/CA14/LYSMD1/CTSK/ARNT/SETDB1/LASS2/ANXA9/GOLPH3L/PRUNE/C1orf56/CDC42SE1/MLLT11/MRPS21/PRPF3/RPRD2/TARS2/VPS72/ADAMTSL4/MCL1/ENSA/SEMA6C/SCNM1/GABPB2/PIP5K1A/FAM63A/PSMD4	Chronic_kidney_disease	DE_01029
PKLR	Pyruvate_kinase_deficiency	DE_00090
PIGM	Glycosylphosphatidylinositol_deficiency	DE_00091
NOS1AP,NOS1AP	Cardiac_disorders,Cardiac_disorders	DE_00623,DE_00498
NOS1AP,NOS1AP	Cardiac_disorders,Cardiac_disorders	DE_00623,DE_00498
PRRX1	Atrial_fibrillation	DE_01037
SERPINC1	Antithrombin_deficiency	DE_00127
MR1	tuberculosis	DE_00411
HMCN1	Breast_cancer	DE_00992
HMCN1	Breast_cancer	DE_00992
RGS1	IgA_nephropathy	DE_00443
IL10,IL10,IL10	Advanced_liver_disease,Malarial_anaemia,Wegener_granulomatosis	DE_00129,DE_00130,DE_00131
IL10,IL10,IL10	Advanced_liver_disease,Malarial_anaemia,Wegener_granulomatosis	DE_00129,DE_00130,DE_00131
IL10,IL10,IL10	Advanced_liver_disease,Malarial_anaemia,Wegener_granulomatosis	DE_00129,DE_00130,DE_00131
IRF6,IRF6,IRF6	Cleft_lip,Cleft_palate,Orofacial_clefting	DE_00132,DE_00597,DE_00596
IRF6,IRF6,IRF6	Cleft_lip,Cleft_palate,Orofacial_clefting	DE_00132,DE_00597,DE_00596
IRF6,IRF6,IRF6	Cleft_lip,Cleft_palate,Orofacial_clefting	DE_00132,DE_00597,DE_00596
ALPL	Breast_cancer	DE_00993
ALPL	Breast_cancer	DE_00993
ALPL	Breast_cancer	DE_00993
ALPL	Breast_cancer	DE_00993
CDKN2A	Coronary_artery_disease	DE_00619
SDCCAG8	Schizophrenia	DE_00539
MAST2	Breast_cancer	DE_00995
