OREGgene_symbol	OREGstrand	OREGtype	OREGexperimental_outcome	OREGdatabase_ID	OREGNCBI
CELSR2,N/A,CELSR2,CELSR2,CELSR2,CELSR2,CELSR2,CELSR2,N/A,N/A	1,N/A,1,1,1,1,1,1,-1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1186421,OREG0070947,OREG1651973,OREG1593608,OREG1898460,OREG1722527,OREG1746457,OREG1763866,OREG0072270,OREG1086486	18971253,17130149,18971253,18971253,18971253,18971253,18971253,18971253,24194598,24194598
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ANXA9,CERS2	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1578665,OREG1765203	18971253,18971253
PKLR	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1254542	18971253
PIGM,PIGM,PIGM,PIGM,N/A	1,1,1,1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1249409,OREG1609763,OREG1542448,OREG1876824,OREG0162296	18971253,18971253,18971253,18971253,24194598
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
SERPINC1,SERPINC1,SERPINC1	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1306517,OREG1728652,OREG1752181	18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
N/A	N/A	REGULATORY_REGION	N/A	OREG0070068	17130149
N/A	N/A	REGULATORY_REGION	N/A	OREG0070068	17130149
N/A	N/A	REGULATORY_REGION	N/A	OREG0070068	17130149
ECE1,ECE1,ECE1	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1241000,OREG1272187,OREG1553167	18971253,18971253,18971253
ECE1,ECE1,ECE1	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1241000,OREG1272187,OREG1404591	18971253,18971253,18971253
ECE1,ECE1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1241000,OREG1272187	18971253,18971253
ECE1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1272187	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
JUN,JUN,JUN,JUN,JUN,JUN,JUN,N/A,JUN	1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,POSITIVE_OUTCOME,N/A	OREG1794425,OREG1907488,OREG1516479,OREG1789357,OREG1824770,OREG1705372,OREG1846665,OREG0013519,OREG1809434	18971253,18971253,18971253,18971253,18971253,18971253,18971253,N/A,18971253
JUN,JUN,N/A,JUN,JUN,JUN	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,POSITIVE_OUTCOME,N/A,N/A,N/A	OREG1907488,OREG1516479,OREG0013519,OREG1789358,OREG1194198,OREG1406908	18971253,18971253,N/A,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
GCLM,GCLM,GCLM,GCLM,GCLM,GCLM,GCLM,GCLM,GCLM,N/A	1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POSITIVE_OUTCOME	OREG1265229,OREG1895423,OREG1183886,OREG1505357,OREG1234488,OREG1621232,OREG1609647,OREG1353069,OREG1399854,OREG0013608	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,N/A
-	-	-	-	-	-
